date,top1000_pct_above_10dma,top1000_pct_above_100dma,top1000_pct_above_200dma,tech100_pct_above_50dma,top1000_net_new_highs_63d,top1000_mcclellan_osc
2010-01-04,74.79919678714859,85.33872598584429,93.69277721261444,92.92929292929293,0,
2010-01-05,68.97590361445783,86.5520728008089,93.69277721261444,89.8989898989899,0,
2010-01-06,66.06425702811245,86.95652173913044,94.60834181078332,87.87878787878788,0,
2010-01-07,63.65461847389559,88.87765419615774,94.50661241098678,84.84848484848484,0,
2010-01-08,66.86746987951807,89.47368421052632,95.01018329938901,88.88888888888889,0,
2010-01-11,66.16465863453816,88.76518218623481,95.11201629327903,87.87878787878788,0,
2010-01-12,50.70281124497992,85.82995951417004,94.39918533604889,82.82828282828282,0,
2010-01-13,66.96787148594377,87.95546558704453,94.70468431771894,82.82828282828282,0,
2010-01-14,64.05622489959839,87.24696356275304,94.80651731160896,84.84848484848484,0,
2010-01-15,41.76706827309237,84.0080971659919,94.29735234215886,71.71717171717171,0,
2010-01-19,60.94377510040161,87.34817813765183,95.41751527494908,76.76767676767676,0,
2010-01-20,40.06024096385542,82.08502024291498,94.29735234215886,69.6969696969697,0,
2010-01-21,22.188755020080322,74.89878542510121,91.44602851323829,54.54545454545454,0,
2010-01-22,10.542168674698797,62.75303643724697,88.79837067209776,29.292929292929294,0,
2010-01-25,12.751004016064257,64.17004048582996,89.71486761710794,30.303030303030305,0,
2010-01-26,12.449799196787147,61.74089068825911,87.37270875763747,33.33333333333333,0,
2010-01-27,18.97590361445783,62.145748987854255,87.67820773930754,34.34343434343434,0,
2010-01-28,13.152610441767068,54.655870445344135,84.5213849287169,24.242424242424242,0,
2010-01-29,12.851405622489958,47.67206477732793,81.56822810590631,18.181818181818183,0,
2010-02-01,26.00401606425703,57.89473684210527,85.13238289205702,24.242424242424242,0,
2010-02-02,57.028112449799195,63.1578947368421,87.37270875763747,31.313131313131315,0,
2010-02-03,50.30120481927711,59.33062880324543,85.61224489795919,30.612244897959183,0,
2010-02-04,12.951807228915662,39.553752535496955,78.16326530612245,17.346938775510203,0,
2010-02-05,15.66265060240964,40.97363083164301,78.26530612244898,18.367346938775512,0,
2010-02-08,11.947791164658634,35.39553752535497,74.08163265306122,16.161616161616163,0,
2010-02-09,30.522088353413658,42.393509127789045,77.75510204081633,19.19191919191919,0,
2010-02-10,30.72289156626506,41.48073022312373,77.44897959183673,19.19191919191919,0,
2010-02-11,57.329317269076306,50.30425963488844,80.51020408163265,30.303030303030305,0,
2010-02-12,57.831325301204814,51.52129817444219,80.10204081632652,27.27272727272727,0,
2010-02-16,85.34136546184739,63.14720812182741,84.67824310520939,38.38383838383838,0,
2010-02-17,90.36144578313254,65.51724137931035,85.40816326530613,44.44444444444444,0,
2010-02-18,92.67068273092369,68.52791878172589,86.0061287027579,56.56565656565656,0,
2010-02-19,90.76305220883533,69.34010152284263,86.21041879468847,56.56565656565656,0,
2010-02-22,88.15261044176707,69.47261663286004,85.3211009174312,51.515151515151516,0,
2010-02-23,64.1566265060241,62.13197969543147,82.95918367346938,43.43434343434344,0,
2010-02-24,68.67469879518072,66.02434077079108,83.07849133537208,59.59595959595959,0,
2010-02-25,61.34538152610441,64.8730964467005,82.55102040816327,51.515151515151516,0,
2010-02-26,59.83935742971887,65.92292089249493,82.87461773700305,56.56565656565656,0,
2010-03-01,76.80722891566265,70.89249492900609,84.40366972477065,62.62626262626263,0,
2010-03-02,81.82730923694778,72.57085020242914,85.5249745158002,65.65656565656566,0,72.95554778367442
2010-03-03,80.72289156626506,74.08906882591093,86.13659531090724,69.6969696969697,0,64.25304260864043
2010-03-04,81.02409638554217,75.0,86.34046890927624,69.6969696969697,0,59.29113547094316
2010-03-05,92.46987951807229,80.46558704453442,88.58307849133537,76.76767676767676,0,89.70224919085729
2010-03-08,90.66265060240963,80.76923076923077,89.0927624872579,79.7979797979798,0,77.4552401754296
2010-03-09,87.75100401606426,80.76923076923077,88.88888888888889,78.78787878787878,0,64.99677126636178
2010-03-10,87.04819277108435,81.9838056680162,89.60244648318043,81.81818181818183,0,70.61979649277697
2010-03-11,85.4417670682731,83.08004052684905,90.10204081632654,83.83838383838383,0,72.32438407889808
2010-03-12,81.02409638554217,83.26572008113591,89.37691521961185,83.83838383838383,0,62.470184544637135
2010-03-15,74.3975903614458,82.75862068965517,88.55975485188968,82.82828282828282,0,41.78249302012085
2010-03-16,83.23293172690764,84.98985801217039,90.20408163265307,86.86868686868688,0,60.43560430155884
2010-03-17,84.83935742971887,86.93009118541033,91.13149847094802,88.88888888888889,0,68.13183642568052
2010-03-18,73.79518072289156,85.1063829787234,90.82568807339449,85.85858585858585,0,42.37145570967613
2010-03-19,56.325301204819276,81.45896656534954,88.79837067209776,84.84848484848484,0,4.884472918943999
2010-03-22,65.86345381526104,83.78926038500506,89.40936863543789,86.86868686868688,0,21.858680268273332
2010-03-23,73.99598393574297,85.41033434650456,90.22403258655804,86.86868686868688,0,38.86233415060852
2010-03-24,57.831325301204814,82.47213779128673,89.40936863543789,88.0,0,0.7061465492520682
2010-03-25,48.59437751004016,80.04052684903749,87.46177370030581,88.0,0,-16.270924582653947
2010-03-26,46.98795180722892,80.44579533941236,88.17533129459734,86.0,0,-18.20496577752033
2010-03-29,60.44176706827309,83.68794326241135,89.50050968399592,87.0,0,5.832453829756517
